,id_enterprise,enterprise_name,number_reviews,number_jobs,number_employees,number_interviews,number_advantages,number_photos,web_link,city,size,founding_date,enterprise_type,sector,incomes,presentation,number_distinctions,distinctions,number_prizes,prizes
90,13714,Lectra, 105, 99, 96, 8, 36, 9,http://www.lectra.com,Paris,De 1 001 à 5 000 employés, 1973, Entreprise cotée en bourse (LSS) , Matériel et logiciels informatiques, Entre 500 millions et 1 milliard € (EUR) par an,"Lectra est le partenaire technologique des entreprises utilisatrices de matières souples, notamment dans les industries de la mode, de l’automobile et de l’ameublement. Son offre haut de gamme combine des logiciels, systèmes de découpe et services pour donner aux marques et aux fabricants les moyens de leurs ambitions, du design à la production, mais aussi la reconnaissance et la sérénité qu’elles méritent.Fondée en 1973, Lectra compte plus de 1 700 collaborateurs en France et dans ses 32 filiales, qui servent des milliers de clients dans plus de 100 pays dans le monde. Coté sur Euronext (LSS), le groupe a réalisé un chiffre d’affaires de 283 millions € en 2018.",0,[],6,"['Prix 2014 EY de l’Entreprise internationale, EY, 2014', ""TOP/COM d'argent, TOP/COM grands prix corporate business, 2015"", 'Prix des Bonnes Pratiques Qualité Aquitaine, Association France Qualité Performance en Aquitaine, 2017', 'Label Vitrine Industrie du futur, Alliance Industrie du Futur, 2017', 'Company of the year, The Technology Headlines, 2017', ""Trophée U-Spring des universités d’entreprise en France, U-Spring, Printemps des universités d'entreprise, 2016""]"
91,13716,Sopra Steria," 2,6k"," 2,5k"," 2,9k", 643, 754, 62,http://www.soprasteria.com,Annecy-le-Vieux,Plus de 10 000 employés, 1968, Entreprise cotée en bourse (SOP:EN Paris) , Services informatiques, Entre 2 et 5 milliards € (EUR) par an,"Sopra Group est un chef de file en matière de consultation, de services informatiques et de développement de logiciels en Europe, en fournissant une assistance et de guider ses clients pour assurer le succès de leurs complexes projets de transformation. Avec une attention particulière aux processus métier et les systèmes d'information, en combinant la qualité de la production industrielle, des services performants, à valeur ajoutée et de l'innovation pour les solutions qu'il apporte, Sopra Group est le partenaire de choix pour les grandes entreprises et les organisations qui souhaitent la meilleure utilisation de la technologie de l'information pour améliorer leur développement et leur avantage concurrentiel.",0,[],1,"['Beste Berater, brand eins Thema, 2016']"
92,13717,Sopra Steria Recruitment, 15, 15, 12, 4, 1, --,http://www.soprasteriarecruitment.co.uk,"Reading, Angleterre (Royaume-Uni)",De 51 à 200 employés, 1979, Filiale ou unité d'exploitation, Recrutement et sous-traitance, Ne sait pas / non applicable,,0,[],0,[]
93,13718,CITECH, 2, 231, 1, 2, --, 1,http://www.citech.pro,Paris,De 51 à 200 employés, 2013, Cabinet / Société du secteur privé, Services informatiques, Entre 1 et 5 millions € (EUR) par an,"CITECH, entreprise au service du numérique (ESN), accompagne la transformation digitale des entreprises et des organismes du secteur public au travers de prestations de services en ingénierie informatique.Nous sommes présents sur toute la France avec des bureaux à Paris, Rennes, Lille, Strasbourg, Dijon, Lyon et Aix-en-Provence.Venez rejoindre nos équipes pour participer à des projets innovants dans un environnement vous permettant d'exprimer pleinement vos talents !Retrouvez toutes nos offres d’emploi sur notre site : https://careers.smartrecruiters.com/CITECHNous étudierons avec la plus grande attention votre candidature que nous vous invitons à nous envoyer à l'adresse : recrutement@citech.pro",0,[],0,[]
94,13722,Group Adaming, 49, 1, 36, 18, 24, --,http://www.adaming.fr,Paris,De 501 à 1 000 employés, 2010, Cabinet / Société du secteur privé, Services informatiques, Entre 25 et 50 millions € (EUR) par an,"Crée en 2010, le Groupe Adaming est une ESN (Entreprise de Services du Numérique) spécialisée dans le conseil, la formation et l’ingénierie numérique. Au travers son implantation en France (Paris, Lille, Strasbourg, Nantes, Tours, Lyon, Bordeaux, Toulouse, Nice) et à l’international (Montréal, Barcelone, Tunis, Casablanca, Alger), le Groupe accompagne la transformation digitale des entreprises.Nos clients sont de grands comptes qui opèrent dans différents secteurs d’activités : Banque, Défense, Secteur Public, Télécoms, Protection Sociale, Santé, Énergie, Environnement, Spatial, Aéronautique, Transport, Distribution, etc.",0,[],0,[]
95,13723,Micropole, 51, 127, 91, 11, 25, 7,http://www.micropole.com,Levallois-Perret,De 1 001 à 5 000 employés, 1987, Entreprise cotée en bourse, Conseils, Entre 100 et 500 millions € (EUR) par an,"Au sein du Groupe Micropole, nous sommes convaincus que l’optimisation du patrimoine data des entreprises est la clé de leur performance. Conseil stratégique, innovation technologique et expertise métiers sont au cœur de notre ADN. L’intelligence collective et les enjeux du futur nous inspirent.Notre véritable richesse : les hommes et les femmes du groupe, nos catalyseurs d’innovation. Animées par des valeurs fortes, nos équipes expertes et complémentaires savent travailler en synergie pour imaginer les solutions les plus performantes au service de nos clients.",0,[],0,[]
96,13724,alptis assurances, 2, 44, 5, --, 5, 1,http://www.alptis.org,Lyon,Entre 201 et 500 employés, 1976, Inconnu, Inconnu, Entre 100 et 500 millions € (EUR) par an,,0,[],0,[]
97,13725,Plastic Omnium, 318, 458, 430, 36, 118, 10,http://www.plasticomnium.com,,Plus de 10 000 employés, 1946, Entreprise cotée en bourse (POM) , Fabrication d'équipement de transport, Entre 2 et 5 milliards € (EUR) par an,"Plastic Omnium est le leader mondial des systèmes de carrosserie intelligents, des systèmes d’énergie propre et des modules bloc-avant.INTELLIGENT EXTERIOR SYSTEMSIntervenant sur un marché de pièces d’aspect et de design, Plastic Omnium propose des solutions sur mesure et multi-matériaux à forte valeur ajoutée, conçues dans une logique croissante d’intégration de fonctions et de sécurité, pour alléger le véhicule et réduire les émissions de CO2CLEAN ENERGY SYSTEMSLes systèmes à carburant en plastique, présentant une parfaite combinaison de performances sécurité/coûts/poids, représentent par ailleurs une solution de choix pour accompagner le développement des véhicules hybrides. Plastic Omnium propose des solutions adaptées à tous types de motorisation.MODULES BLOC-AVANTLe module bloc avant est un ensemble complexe à l’avant du véhicule qui intègre la poutre d’absorption de choc, les systèmes d’éclairage, les radars et capteurs d’aide à la conduite, etc.",0,[],0,[]
98,13727,Mixt Composites Recyclables, 1, 2, --, --, --, --,http://www.m-c-r.com,Tournon-sur-Rhône,Inconnu, Inconnu, Inconnu, Inconnu, Ne sait pas / non applicable par an,,0,[],0,[]
99,13728,Astek, 228, 684, 291, 59, 52, --,http://www.groupeastek.com,Paris,De 1 001 à 5 000 employés, 1988, Entreprise non cotée en bourse, Services informatiques, Entre 100 et 500 millions € (EUR) par an,"Fondée en 1988, Astek est un groupe français qui est devenu un acteur majeur dans l'industrie des services. Avec ses 2 500 employés, Astek a un chiffre d'affaires de 185 millions d'euros. Le groupe de compétences techniques et opérationnelles est axée sur quatre grandes activités :- Conseil - systèmes d'information- scientifique et technique- gestion des installations situés le plus près possible de ses clients, le groupe est présent dans 9 pays et a plusieurs offshore centres de livraison.Fortement axé sur l'innovation technologique, Astek a gagné la confiance de ses clients en leur garantissant le succès à long terme d'intégration de leurs plans d'entreprise avec la technologie la plus récente.Fortement attachés à des valeurs communes, les hommes et les femmes qui travaillent pour Astek soutenir nos clients des stratégies de développement en leur fournissant des résultats soigneusement adaptés à leurs besoins.",0,[],0,[]
100,13729,Astek Group, 3, --, 13, 1, --, --,http://www.astekgroup.co.uk,"Altrincham, Angleterre (Royaume-Uni)",De 1 à 50 employés, Inconnu, Entreprise cotée en bourse (AKG) , Fabrication de produits de soins de santé, Entre 1 et 5 millions € (EUR) par an,,0,[],0,[]
101,13732,Keyrus Group, 407, 815, 455, 41, 125, 98,http://www.keyrus.com,Levallois-Perret,De 1 001 à 5 000 employés, 1996, Entreprise cotée en bourse (KEY.PA) , Services informatiques, Entre 100 et 500 millions € (EUR) par an,"Qui sommes-nous ? Une success story dans la Data et le Digital !Notre mission ?Des projets à forte valeur ajoutée pour accroître la performance et la compétitivité des entreprises, faciliter et accélérer leur transformation.Notre expertise depuis plus de 20 ans ?Le conseil et l'intégration de solutions innovantes autour de trois domaines :> Data IntelligenceBusiness Intelligence et Big Data & Analytics> Digital ExperienceConseil, Stratégie & Performance Digitales> Conseil en Management & TransformationPilotage de la Performance & Accompagnement des ProjetsNous sommes 3 200 talents à travers 18 pays et sur 4 continents.Notre ADN ?Innover et entreprendre.Plus d’informations sur : Keyrus.fr",0,[],8,"['Keyrus, incontournable du classement 2016 des meilleures ESN en conseil IT, Décideurs Magazine, 2016', 'Dans le cadre de son projet RAYS, présenté par Bachar Wehbi, Computer Science Manager, Keyrus a remporté le 2ème prix des Data Intelligence Awards 2016, Data Intelligence Awards 2016, 2016', 'Classement 2017 des ESN : Conseil IT et transformation digitale, Décideurs Magazine, 2017', 'Emerging Partner of the Year, Tableau, 2017', 'Alteryx Premier Partner, North America, Alteryx, 2017', 'SAP Hybris Awards, Le Groupe Keyrus a ete recompense par SAP avec un award special pour son innovation autour de la solution SAP Hybris, 2016', 'Keyrus a ete elu Partenaire de l’annee ""Rising Star"" aux Jedox Partner Awards !, Jedox Global Partner, 2016', 'Corporate Social Reponsibility Partner of the Year, Qlik, 2015']"
102,13733,Yongzhi Plastic Electronics (Shenzhen) Co., 2, --, --, --, --, --,http://www.everwin8.com,Hong Kong (Hong Kong),Entre 201 et 500 employés, 1993, Entreprise non cotée en bourse, Fabrication industrielle, Ne sait pas / non applicable par an,,0,[],0,[]
103,13734,Thales," 2,0k"," 8,0k"," 3,0k", 410, 731, 94,http://www.thalesgroup.com,Nanterre,Plus de 10 000 employés, 2000, Entreprise cotée en bourse (HO) , Aérospatiale et Défense, Entre 5 et 10 milliards € (EUR) par an,"Ceux qui font avancer le monde s’appuient sur ThalesDans un monde en constante mutation, à la fois imprévisible et riche d’opportunités, nous sommes aux côtés de ceux qui ont de grandes ambitions : rendre le monde meilleur et plus sûr.Riches de la diversité de leurs expertises, de leurs talents, de leurs cultures, nos équipes d’architectes conçoivent un éventail unique de solutions technologiques d’exception, qui rendent demain possible dès aujourd’hui.Du fond des océans aux profondeurs du cosmos ou du cyberespace, nous aidons nos clients à maîtriser des environnements toujours plus complexes pour prendre des décisions rapides, efficaces, à chaque moment décisif.Quel que soit l’enjeu.",2,"[{'name': 'Meilleurs Employeurs', 'year': '2020', 'position': '5'}, {'name': 'Meilleurs Employeurs', 'year': '2019', 'position': '8'}, {'name': 'Meilleurs Employeurs', 'year': '2018', 'position': '24'}, {'name': 'Meilleurs Employeurs', 'year': '2017', 'position': '16'}, {'name': 'Meilleurs Employeurs', 'year': '2016', 'position': '6'}, {'name': 'Le Top des PDG', 'year': '2018', 'position': '9'}, {'name': 'Le Top des PDG', 'year': '2017', 'position': '10'}]",1,"['Best Tech Workplace for Diversity, The Timmy Awards, 2018']"
104,13736,Thales-Raytheon Systems, 29, --, 41, 9, 5, --,http://www.thalesraytheon.com,"Fullerton, CA (États-Unis)",De 501 à 1 000 employés, 2001, Entreprise non cotée en bourse, Gestion des transports, Entre 100 et 500 millions € (EUR) par an,,0,[],0,[]
105,13737,L&T Thales Technology Services, 14, 258, 6, 1, 2, --,,Chennai (Inde),Plus de 10 000 employés, Inconnu, Entreprise non cotée en bourse, Inconnu, Ne sait pas / non applicable par an,,0,[],0,[]
106,13741,JEMS Group, 57, 56, 35, 3, 4, 5,http://www.jems-group.com,Neuilly,Entre 201 et 500 employés, 2002, Entreprise non cotée en bourse, Services informatiques, Entre 25 et 50 millions € (EUR) par an,,0,[],0,[]
107,13745,Capgemini, 20k, 22k, 24k," 5,3k"," 4,7k", 452,http://www.fr.capgemini.com,Paris,Plus de 10 000 employés, 1967, Entreprise cotée en bourse (CAP) , Solutions logicielles et réseau d'entreprise, Entre 1 et 2 milliards € (EUR) par an,"Pour Capgemini, ce sont les hommes et les femmes qui donnent toute sa valeur à la technologie. Résolument multiculturel, le Groupe compte 200 000 collaborateurs présents dans plus de 40 pays. Il a réalisé un chiffre d'affaires de 12,8 milliards d'euros en 2017.",0,[],32,"['Top 50 Employers for Women, The Times, 2013', 'India’s Ideal Employers, Universum, 2013', 'Leaders Quadrant for SAP Application Management Service Providers, Worldwide, Gartner Magic Quadrant, 2012', ""Top 25 - India's Best Companies to Work for, Business Today, 2015"", ""World's Most Ethical Companies, Ethisphere Institute, 2016"", 'World’s Most Ethical Companies, Ethisphere, 2019', 'Economic Dividends for Gender Equality Level 1 (US) and Level 2 (Canada), Economic Dividends for Gender Equality (EDGE), 2019', ""Canada’s Best Diversity Employers, Canada's Top 100 Employers Project – Mediacorp, 2019"", 'Capgemini is ranked as an Attractive Employer, Universum, 2019', 'Leader in Advanced Analytics BPS, NelsonHall NEAT Assessment, 2016, 2019', 'Best Places to Work for LGBT Equality, Human Rights Campaign Foundation, 2018', 'Leading Employer, Leading Employers, 2018', 'MINT Minded Company, MINT Minded Company, 2018', 'Above & Beyond Award, Diversity Best Practices, 2018', 'Top 25 Companies for Women Technologists by Anita Borg Institute in North America., ABI, 2017', 'CSR Jobs Award 2017 - Unsere Qualifizierung, CSR Jobs & Companies, 2017', 'North America Partner Excellence Award for Industry Services, SAP, 2016', '2016 SAP Pinnacle Award Finalist Quality Partner of the Year, SAP Pinnacle Awards, 2016', '2016 SAP Pinnacle Awards Finalist in Customers’ Choice – Sell, SAP Pinnacle Awards, 2016', ""2016 SAP Pinnacle Award Finalist in Customers' Choice - Build, SAP Pinnacle Awards, 2016"", '2016 SAP Pinnacle Award Winner in Customers’ Choice – Service Category, SAP Pinnacle Awards, 2016', 'SAP Greater China Partner Excellence Award 2016 for HCM Cloud Services, SAP, 2016', 'Top Employers Italia, Top Employers Institute, 2016', 'Top Employers Belgium, Top Employers Institute, 2016', 'Top Employers Poland, Top Employers Institute, 2016', 'Best Places to Work (UK), Glassdoor, 2016', 'Top Companies for Women Technologists, Anita Borg Institute, 2016', ""World's Most Ethical Companies, Ethisphere Institute, 2015"", ""World's Most Ethical Companies, Ethisphere Institute, 2014"", ""World's Most Ethical Companies, Ethisphere Institute, 2013"", '50 Best Large Workplaces in Europe, Great Place to Work Institute Europe, 2009', 'Top Entry Level Employers, CollegeGrad, 2009']"
108,13746,Capgemini Invent," 1,5k", 3," 1,7k", 498, 346, 49,http://www.capgemini.com/invent,Courbevoie,De 5 001 à 10 000 employés, 2009, Entreprise cotée en bourse, Conseils, Entre 500 millions et 1 milliard € (EUR) par an,"Marque de conseil en stratégie et transformation du Groupe Capgemini, Capgemini Consulting accompagne ses clients dans leurs projets de transformation en les aidant à concevoir et mettre en oeuvre des stratégies innovantes au service de leur croissance et de leur compétitivité. Cette entité globale propose aux entreprises de l’ensemble des secteurs économiques une approche nouvelle qui conjugue l’utilisation de méthodes novatrices, le recours à la technologie et l’expertise de son réseau mondial de plus de 3 600 consultants. Plus d’informations sur : http://www.fr.capgemini-consulting.com",0,[],3,"['Top 50 Employers for Women, The Times, 2013', 'The Times Top 50 Employers for Women, Opportunity Now, 2015', 'The Top Companies For Graduates To Work For, The Job Crowd, 2015']"
109,13753,Open, 232, 274, 217, 38, 115, 26,http://www.open.global,Levallois-Perret,De 1 001 à 5 000 employés, 1989, Entreprise cotée en bourse (OPN) , Services d'architecture et d'ingénierie, Entre 100 et 500 millions € (EUR) par an,"Avec 3 760 collaborateurs et un chiffre d’affaires de 324 M€ en 2018, Open, acteur majeur des services du numérique accompagne au quotidien les entreprises et les organisations dans leur transformation industrielle et digitale avec une offre de bout en bout, IT et digitale.Son objectif : Transformer les systèmes d’information de ses clients pour répondre à leurs nouveaux Business Model digitaux avec une garantie de stabilité, de contrôle et de coûts maîtrisés en répondant aux enjeux de mise sur le marché, d’agilité, de rapidité et d’expérimentations.Open inscrit sa démarche dans une logique d’avenir au travers de la mise en œuvre de ses valeurs d’entreprise : Pertinence, Audace, Ethique & Responsabilité, Passion et Engagement.Open intervient principalement en France et à l’international aux Pays Bas, Luxembourg et Roumanie.",0,[],0,[]
110,13755,Open Minds Open Hearts Day Care, 2, 4, --, --, --, --,http://www.openmindsopenheartsnola.com,"New Orleans, LA (États-Unis)",De 1 à 50 employés, Inconnu, Entreprise cotée en bourse, Inconnu, Ne sait pas / non applicable par an,,0,[],0,[]
111,13758,OpenText," 1,7k"," 1,0k"," 1,7k", 399, 557, 47,http://www.opentext.com,"Waterloo, ON (Canada)",Plus de 10 000 employés, 1992, Entreprise cotée en bourse (OTEX) , Solutions logicielles et réseau d'entreprise, Entre 2 et 5 milliards € (EUR) par an,"OpenText est le leader de la gestion des informations d'entreprise(EIM).Nos solutions EIM permettent aux entreprises de se développer plus rapidement, de diminuer ses coûts opérationnels, et de réduire les risques liés à la gouvernance et à la sécurité de ses informations en ouvrant de nouvelles perspectives commerciales, en évaluant les impacts et en accélérant les processus métier.",0,[],7,"['Ten Best Companies to Work For, Financial Post, 2013', ""Canada's Top 100 Employers, Mediacorp Canada, 2013"", 'Top Employers, Waterloo Area, 2016', 'Top Job, University of St. Gallen, 2015', 'Results-Oriented CEO of the year(Mark J. Barrenechea - CEO), CEO World Awards, 2015', ""Canada's Top 100 Employers, Mediacorp Canada, 2012"", '100 Fastest Growing Companies, Fortune, 2009']"
112,13760,Open Sourcing, 4, 478, 3, 2, --, --,http://www.opensourcing.fr,Paris,De 1 à 50 employés, 2008, Entreprise non cotée en bourse, Recrutement et sous-traitance, Moins d&#039;1 million € (EUR) par an,,0,[],0,[]
113,13761,Artefact, 78, 233, 77, 23, 23, 16,http://www.artefact.com,Paris,De 501 à 1 000 employés, Inconnu, Entreprise cotée en bourse, Conseils, Ne sait pas / non applicable,"Artefact est l’agence digitale élue agence innovante de l’année 2017. Incarnant aujourd’hui l'alliance parfaite entre marketeurs et ingénieurs, l’agence accompagne les plus grands annonceurs à inventer les expériences client de demain s'appuyant sur les nouvelles technologies.Artefact, fondée par trois anciens de l’Ecole Polytechnique : Vincent Luciani, Philippe Rolet et Guillaume de Roquemaurel, a connu un taux de croissance très soutenu depuis sa création en 2015 avec un triplement de son chiffre d’affaires en 2016.Artefact est l'une des plus grandes agences internationales indépendantes pilotée par des experts media et data.",0,[],0,[]
114,13762,Artefact Group, 22, 21, 33, 7, 6, 12,http://www.artefactgroup.com,"Seattle, WA (États-Unis)",De 51 à 200 employés, 2006, Entreprise non cotée en bourse, Conseils, Entre 10 et 25 millions € (EUR) par an,,0,[],4,"['100 Best Companies to Work For 2014, Seattle Business Magazine, 2014', 'Tech Impact Award, Seattle Business, 2015', '100 Best Companies to Work For, Seattle Business Magazine, 2016', 'Best of Show - Camera Concept, I.D. Magazine, 2011']"
115,13764,Artefacts Studio, 3, 3, 4, 1, --, --,http://www.artefacts-studio.fr,Villeurbanne,De 1 à 50 employés, 2003, Entreprise non cotée en bourse, Inconnu, Ne sait pas / non applicable par an,,0,[],0,[]
116,13767,Openfield Live, 3, --, 1, 1, 12, --,http://www.openfieldlive.com,Paris,De 1 à 50 employés, Inconnu, Cabinet / Société du secteur privé, Inconnu, Ne sait pas / non applicable par an,,0,[],0,[]
117,13769,Phaidon International, 244, 77, 178, 201, 29, 28,http://www.phaidoninternational.com,"Londres, Angleterre (Royaume-Uni)",De 501 à 1 000 employés, 2004, Entreprise non cotée en bourse, Recrutement et sous-traitance, Entre 100 et 500 millions € (EUR) par an,,0,[],25,"['Sunday Times Best Company to Work Top 100 (Small Business), The Sunday Times, 2014', 'Top 100 Small Company to Work For, Sunday Times Best Companies, 2015', 'Sunday Times Fast Track 200, The Sunday Times Fast Track League, 2019', 'Best Staffing Firms to Work For, Staffing Industry Analysts Awards, 2019', 'Best Companies to Work for in New York, Best Companies to Work for in New York, 2019', ""Dallas/Fort Worth's Best and Brightest Companies to Work For, The Best and Brightest Companies to Work For, 2019"", 'Best Staffing Firms to Work For, Staffing Industry Analysts, 2019', 'Best Companies to Work for in New York, Best Companies Group, 2019', 'Best Candidate Attraction through Social Media, The Global Recruiter Industry Awards UK 2019, 2019', 'Innovation of the Year, Recruitment International, 2018', 'National Best and Brightest Companies to Work For, The Best and Brightest Companies to Work For, 2018', 'Global Power 150 - Women in Recruitment (Clare Cooper), Staffing Industry Analysts’ Global Power 150, 2018', 'Best Permanent Roles Recruitment Agency, HR Vendors of the year awards, 2018', 'The Queens Award for Enterprise in International Trade, The Queens Award for Enterprise, 2017', 'Best Companies to Work for in New York, Best Companies Group, 2017', ""Chicago's 101 Best & Brightest Companies to Work For, Chicago's 101 Best & Brightest Companies to Work For, 2017"", 'The Best Company to Work For (more than 250 employees), REC IRP Awards, 2016', 'Banking Recruitment Company of the Year, Recruitment International Asia Awards, 2016', 'Best Procurement Service Provider, World Procurement Awards, 2016', 'Listed Best Small Company to Work For, Sunday Times Best Companies, 2016', '1000 Companies to Inspire Britain, London Stock Exchange 2016, 2016', 'A North America Best Staffing Firm to Work For, Staffing Industry Analysts, 2016', '4th Fastest Growing Company of the Year, Staffing Industry Analysts, 2016', 'A National Best & Brightest Company To Work For, National Best & Brightest, 2015', '3rd Fastest Growing Company of the Year, Staffing Industry Analysts, 2015']"
118,13770,D2SI, 3, 2, 3, 1, --, --,http://www.d2-si.fr,Paris,De 51 à 200 employés, 2006, Entreprise non cotée en bourse, Conseils, Entre 10 et 25 millions € (EUR) par an,,0,[],0,[]
119,13771,Adthink-Media, 8, 34, 7, 1, 3, --,http://www.adthink-media.com,Tassin,De 51 à 200 employés, 2001, Inconnu, Inconnu, Entre 1 et 5 millions € (EUR) par an,,0,[],0,[]
120,13772,SKF, 497, 79, 473, 73, 113, 17,http://www.skf.com,Gothenburg (Suède),Plus de 10 000 employés, 1907, Entreprise cotée en bourse (SKFRY) , Fabrication industrielle, Entre 5 et 10 milliards € (EUR) par an,,0,[],0,[]
121,13777,GFI, 28, 543, 31, 3, 3, --,http://www.gfi.su,Moscou (Russie),De 51 à 200 employés, Inconnu, Entreprise non cotée en bourse, Jeux vidéo, Ne sait pas / non applicable par an,,0,[],0,[]
